dieter_name,report_name,Units,Notes,DIETER report type,IAMC report type
obj value,Total system cost,billionUSD,,report,Annual
gross_energy_demand,Gross electricity demand,TWh,Total demand plus storage inefficiency,report,Annual
load-weighted price for fixed demand,load-weighted price for fixed demand,USD/MWh,,report,Annual
conshare total,Total conventional generation share,%,Total gross electricity demand share of conventional plants ,report,Annual
renshare total,Total renewable generation share,%,Total gross electricity demand share of renewable plants ,report,Annual
curtailment of fluct res absolute,Absolute VRE curtailment,TWh,Total absolute VRE curtailment,report,Annual
curtailment of fluct res relative,Relative VRE curtailment,% of total VRE generation,Total VRE curtailment in MWh divided by gross VRE generation in MWh,report,Annual
bio not utilized absolute,Absolute non-utilized bioelectricity,TWh,Maximum allowable bioelectricity (exogenous) minus optimal bioelectricity utilization,report,Annual
bio not utilized relative,Relative non-utilized bioelectricity,% of total maximum allowable capacity,Absolute non-utilized Bioelectricity divided by Maximum allowable bioelectricity (exogenous),report,Annual
max price,Maximum wholesale electricity price,USD/MWh,,report,Annual
mean price,Mean wholesale electricity price,USD/MWh,"base price,  so hourly weighed",report,Annual
min price,Minimum wholesale electricity price,USD/MWh,,report,Annual
Capacity total,Total installed capacity,GW,generation and storage,report,Annual
Energy total,Total electricity demand,TWh,Careful: Total demand including storage out plus storage in (double counting of storage OUT),report,Annual
fixed demand,Net fixed electricity demand,TWh,Total fixed demand,report_hours,Hourly
flexible demand,Net flexible electricity demand,TWh,Total flex demand,report_hours,Hourly
price,Wholesale electricity price,USD/MWh,hourly wholesale electricity price,report_hours,Hourly
net shares,Net VRE share,%,Share of solar and wind in total demand,report_tech,Annual
capacities,Installed capacity,GW,,report_tech,Annual
pre-investment capacities,Pre-investment capacities,GW,,report_tech,Annual
DIETER added capacities,DIETER added capacities,GW,investment made by DIETER in one period,report_tech,Annual
REMIND added capacities,REMIND added capacities,GW,investment made by REMIND in one period,report_tech,Annual
capacities storage MW,Storage installed capacity - power,GW,,report_tech,Annual
capacities storage MWh,Storage installed capacity - energy,TWh,,report_tech,Annual
conshares,Conventional generation share,%,Gross electricity demand share of conventional plants ,report_tech,Annual
renshares,Renewable generation share,%,Gross electricity demand share of renewable plants ,report_tech,Annual
curtailment of fluct res absolute,Absolute VRE curtailment solar PV,MWh,,report_tech,Annual
curtailment of fluct res relative,Relative VRE curtailment,% of total VRE generation,,report_tech,Annual
load-weighted price for flex demand,load-weighted price for flex demand,USD/MWh,,report_tech,Annual
fuel cost (divided by eta),fuel cost (divided by eta),USD/MWh,,report_tech,Annual
primary energy price,primary energy price,USD/MWh,,report_tech,Annual
O&M cost,O&M cost,USD/kW,,report_tech,Annual
CO2 price,CO2 price,USD/tCO2,,report,Annual
CO2 cost,CO2 cost,USD/MWh,,report_tech,Annual
annualized investment cost,Annualized investment cost,USD/kW,,report_tech,Annual
fuel efficiency,fuel efficiency,%,,report_tech,Annual
market value full load,Market value full load,USD/MWh,,report_tech,Annual
market value,Market value,USD/MWh,,report_tech,Annual
market value_discharge,Storage arbitrage revenue,USD/MWh,,report_tech,Annual
market value_charge,Storage arbitrage cost,USD/MWh,,report_tech,Annual
market value_DSM_DO,DSM revenue,USD/MWh,,report_tech,Annual
market value_DSM_UP,DSM cost,USD/MWh,,report_tech,Annual
full load capacity factor,full load capacity factor,%,,report_tech,
avg capacity factor,avg capacity factor,%,,report_tech,Annual
Revenue full load,Revenue full load,billionUSD,,report_tech,
Revenue marginal plant per MW,Revenue marginal plant per MW,USD/MW ,,report_tech,
Revenue,Revenue,billionUSD,,report_tech,
base value factor,Wholesale value factor - base,-0,Market value divided by average wholesale electricity price,report_tech,Annual
load-weighted value factor,Wholale value factor - demand-weighted,-0,,report_tech,Annual
Capacity share,Total installed capacity share,%,,report_tech,Annual
Energy share,Total electricity demand share,%,careful,report_tech,Annual
Total Generation,Total Generation,TWh,,report_tech,Annual
Total Renewable Generation,Total Renewable Generation,TWh,,report_tech,Annual
Total Renewable Curtailment,Total Renewable Curtailment,TWh,,report_tech,Annual
Storage out total wholesale,Total Storage Generation ,TWh,,report_tech,Annual
Storage in total wholesale,Total Storage Demand,TWh,,report_tech,Annual
Storage FLH,Storage Full Load Hours,Hours,Total storage generation divided by storage installed capacity - power,report_tech,Annual
Storage cycles,Storage cycles,Cycles,Total storage generation divided by storage installed capacity - energy,report_tech,Annual
Storage EP-ratio,Storage EP-ratio,hours,,report_tech,Annual
capacities load shift,DSM installed capacity,GW,,report_tech,Annual
Load shift pos absolute (total),Total DSM Demand,TWh,,report_tech,Annual
Load shift neg absolute (total),Total DSM Generation,TWh,,report_tech,Annual
Load shift pos absolute (wholesale),Total Wholesale DSM Demand,TWh,,report_tech,Annual
Load shift neg absolute (wholesale),Total Wholesale DSM Generation,TWh,,report_tech,Annual
generation,Hourly generation,MW,,report_tech_hours,Hourly
curtailment of fluct res,Hourly VRE curtailment,MW,,report_tech_hours,Hourly
generation storage,Hourly storage generation,MW,,report_tech_hours,Hourly
storage loading,Hourly storage demand,MW,,report_tech_hours,Hourly
storage level,Hourly storage level,MW,,report_tech_hours,Hourly
load shift pos (non-reserves),Hourly DSM demand,MW,,report_tech_hours,Hourly
load shift neg (non-reserves),Hourly DSM generation,MW,,report_tech_hours,Hourly
model status,Model Status,0/1,,,
solve time,Total Time Taken,seconds,,,
net_energy_demand,Net electricity demand,TWh,Total annual demand,report,Annual
REMIND divestment,REMIND divestment,GW,"REMIND divestment due to early retirement (estimate, for validation purposes",report_tech,Annual
REMIND added capacities from DIETER pre-investment,REMIND added capacities from DIETER pre-investment,GW,,report_tech,Annual
REMIND added capacities from REMIND pre-investment,REMIND added capacities from REMIND pre-investment,GW,,report_tech,Annual
REMIND pre-investment capacities,REMIND pre-investment capacities,GW,,report_tech,Annual
DIETER pre-investment capacities,DIETER pre-investment capacities,GW,,report_tech,Annual
